sid,station_name,lat,lon,elev,begints,rw_name,rw_heading,faa_id,real_name
PADK,ADAK NAS/MITCHELL,51.877959999999995,-176.64603,4.0,1942-10-30 00:00:00-05,Runway 5/23,61.0,ADK,Adak Airport
PAKH,AKHIOK,56.94,-154.18,13.0,2010-02-27 03:21:00-06,Runway 4/22,62.0,AKK,Akhiok Airport
PAUT,Akun,54.1446,-165.6041,20.6849,2014-05-16 08:55:00-05,Runway 9/27,99.0,7AK,Akutan Airport
PALP,Alpine,70.3443,-150.9447,7.9987429999999975,2005-03-01 06:48:00-06,Runway 3/21,,AK1,Alpine Airstrip
PAFM,AMBLER,67.10631,-157.85747,88.0,1988-01-05 08:00:00-06,Runway 1/19,23.0,AFM,Ambler Airport
PAFM,AMBLER,67.10631,-157.85747,88.0,1988-01-05 08:00:00-06,Runway 10/28,113.0,AFM,Ambler Airport
PAKP,ANAKTUVUK PASS,68.1336,-151.74334,643.0,1980-09-11 09:00:00-05,Runway 2/20,38.0,AKP,Anaktuvuk Pass Airport
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611000000005,40.0,1953-11-01 04:00:00-06,Runway 7R/25L,90.0,ANC,Ted Stevens Anchorage International Airport
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611000000005,40.0,1953-11-01 04:00:00-06,Runway 15/33,165.0,ANC,Ted Stevens Anchorage International Airport
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611000000005,40.0,1953-11-01 04:00:00-06,Runway 7L/25R,90.0,ANC,Ted Stevens Anchorage International Airport
PAGN,ANGOON,57.5036,-134.5851,6.988902599999999,1972-12-31 19:00:00-06,Runway NW/SE,,AGN,Angoon Seaplane Base
PANI,ANIAK (AWOS),61.5816,-159.54304,26.0,1948-07-01 05:00:00-05,Runway 11/29,121.0,ANI,Aniak Airport
PANI,ANIAK (AWOS),61.5816,-159.54304,26.0,1948-07-01 05:00:00-05,Runway 5W/23W,,ANI,Aniak Airport
PANT,ANNETTE ISLAND (ASOS),55.04244,-131.57223,34.0,1941-07-14 12:00:00-05,Runway 12/30,,ANN,Annette Island Airport
PANT,ANNETTE ISLAND (ASOS),55.04244,-131.57223,34.0,1941-07-14 12:00:00-05,Runway 2/20,,ANN,Annette Island Airport
PANV,ANVIK AIRPORT,62.647330000000004,-160.19007,99.0,1994-12-31 18:00:00-06,Runway 17/35,187.0,ANV,Anvik Airport
PARC,ARCTIC VILLAGE,68.11466999999999,-145.57942,636.0,1994-12-31 18:00:00-06,Runway 2/20,45.0,ARC,Arctic Village Airport
PAAK,ATKA AIRPORT,52.22059,-174.20618000000005,17.0,1948-01-01 12:00:00-06,Runway 16/34,165.0,AKA,Atka Airport
PATQ,ATQASUK,70.46728,-157.43573999999995,29.0,2010-02-23 00:56:00-06,Runway 7/25,81.0,ATK,Atqasuk Edward Burnell Sr. Memorial Airport
